641,796,-177.626332,214,370,370,60
641,796,-176.184092,204,370,370,60
645,772,-177.145785,210,370,370,60
648,754,-172.462170,241,370,370,60
651,727,-175.137703,230,370,370,60
655,700,-172.749548,248,370,370,60
659,671,-176.136123,241,370,370,60
662,653,-172.519941,265,370,353,60
667,625,-173.114376,269,370,329,60
671,606,-173.994650,271,370,298,60
674,588,-173.336099,279,370,282,60
680,560,-171.695971,285,370,266,60
684,541,-173.747678,292,370,247,60
690,513,-173.750815,300,370,235,60
694,495,-173.263630,305,370,227,60
699,476,-170.541729,338,366,206,60
703,457,-169.132966,364,349,196,60
711,430,-166.808657,370,335,182,60
716,412,-168.131505,355,304,124,60
724,385,-165.895218,350,280,128,60
729,367,-165.279115,313,267,110,60
737,344,-175.054064,285,241,100,60
741,332,-166.221039,295,224,110,60
744,322,-164.657200,241,215,85,60
748,309,-165.216989,227,201,80,60
752,298,-167.521289,221,191,79,60
754,290,-170.813228,240,179,93,60
755,283,-170.117404,206,171,79,60
758,272,-171.463513,196,163,76,60
759,265,-170.182752,196,154,79,60
760,258,-173.644769,182,144,78,60
762,247,-169.104546,162,140,68,60
762,240,-171.786333,159,131,71,60
762,230,167.070880,224,122,130,60
761,221,169.195551,203,113,127,60
760,214,169.002228,178,101,120,60
758,203,167.850742,169,95,110,60
757,195,166.058986,151,86,102,60
755,183,163.143195,145,76,85,60
753,175,168.318063,125,67,76,60
752,166,167.043047,96,53,61,60
749,155,166.443676,75,45,55,60
748,148,167.223949,68,38,44,60
746,140,165.613781,51,27,30,60
744,138,162.606841,51,25,28,60
743,139,146.940226,79,29,28,60
744,140,135.563810,221,38,31,60
744,142,116.229404,224,95,45,60
745,143,86.338738,266,212,68,60
745,144,61.417543,370,223,147,60
747,145,40.687562,370,334,223,60
748,145,22.466330,370,370,248,60
745,149,16.580058,370,370,262,60
740,156,15.195519,370,370,259,60
736,162,21.236900,370,370,250,60
731,166,29.760878,370,370,227,60
727,169,36.707075,370,357,210,60
724,170,46.791145,370,314,203,60
718,172,59.742919,370,235,193,60
712,173,72.085384,370,210,193,60
708,173,83.529135,283,176,149,60
701,173,95.570372,233,169,120,60
695,172,98.904233,200,163,103,60
687,171,101.211810,189,159,97,60
680,169,103.852618,176,153,93,60
673,168,99.871022,169,142,94,60
661,166,97.879945,164,133,97,60
653,165,101.263379,148,126,90,60
646,164,99.792528,137,114,90,60
635,163,96.968098,133,106,94,60
624,162,92.370398,130,94,106,60
617,162,90.647714,118,87,103,60
610,162,89.144599,109,76,106,60
599,162,86.144384,110,70,89,60
592,163,82.888707,94,59,73,60
581,163,83.506029,82,51,63,60
573,164,83.447069,68,43,56,60
566,164,78.204686,59,33,39,60
561,166,57.733880,83,33,32,60
561,167,44.911620,370,45,34,60
561,168,28.812735,370,85,44,60
562,169,12.791724,370,150,54,60
563,169,4.948649,370,370,68,60
564,168,0.051035,370,370,82,60
565,168,-3.162646,370,370,87,60
567,175,-4.925527,370,370,102,60
573,190,-6.374481,370,370,111,60
576,198,-7.044293,370,370,121,60
580,205,-7.928568,370,370,133,60
585,215,-9.597482,370,370,142,60
588,222,-10.975645,370,370,148,60
594,233,-11.781666,370,370,172,60
598,241,-12.649590,370,370,183,60
602,248,-11.786845,370,370,189,60
606,256,-11.216462,370,370,193,60
611,266,-8.933374,370,370,190,60
613,272,-6.555989,370,370,180,60
615,279,-4.819313,370,370,176,60
618,289,-2.471572,370,370,172,60
619,295,-0.931836,370,370,166,60
620,305,-0.115094,370,370,164,60
620,312,-0.003625,370,370,164,60
619,319,0.074222,370,370,162,60
619,329,0.285324,370,370,162,60
618,336,0.528831,370,370,159,60
617,343,0.591613,370,370,158,60
616,353,1.225616,370,370,154,60
613,364,2.467253,370,370,149,60
611,371,2.949206,370,370,142,60
608,382,5.132293,370,370,135,60
606,389,5.019635,370,370,134,60
603,396,6.415805,370,370,125,60
598,407,8.272420,370,370,114,60
595,414,8.543489,370,370,110,60
590,426,8.424721,370,370,103,60
587,433,8.783014,370,370,97,60
582,444,7.126859,370,370,96,60
579,451,7.252910,370,370,92,60
576,458,6.475395,370,370,87,60
574,465,6.730536,370,370,85,60
570,475,4.272297,370,370,85,60
567,482,3.716510,370,366,82,60
565,492,4.203055,370,356,78,60
563,499,3.501283,370,346,76,60
561,509,1.399371,370,339,75,60
560,515,1.763310,370,329,76,60
559,522,1.251077,370,322,75,60
558,532,0.894039,370,316,75,60
557,539,0.549723,370,309,75,60
557,549,0.346046,370,298,75,60
557,556,0.025890,370,292,75,60
557,565,0.007416,370,279,75,60
558,575,-0.283429,370,272,75,60
559,581,-0.500425,370,266,78,60
